128, 9.12, 0.32, 0.32, 0.27, 0.33, 0.20, 0.16, 0.28
136, 9.90, 0.28, 0.28, 0.23, 0.29, 0.18, 0.14, 0.24
144, 9.30, 0.27, 0.27, 0.22, 0.28, 0.17, 0.13, 0.23
152, 9.06, 0.25, 0.25, 0.21, 0.25, 0.15, 0.12, 0.22
160, 9.05, 0.24, 0.24, 0.20, 0.24, 0.15, 0.12, 0.20
168, 9.05, 0.24, 0.24, 0.20, 0.25, 0.15, 0.12, 0.21
176, 9.86, 0.23, 0.23, 0.19, 0.24, 0.15, 0.12, 0.20
184, 9.80, 0.47, 0.46, 0.35, 0.42, 0.26, 0.20, 0.32
192, 15.56, 0.28, 0.29, 0.22, 0.18, 0.17, 0.14, 0.19
200, 9.78, 0.28, 0.28, 0.21, 0.18, 0.16, 0.13, 0.19
208, 9.77, 0.24, 0.24, 0.18, 0.15, 0.14, 0.11, 0.16
216, 8.74, 0.23, 0.23, 0.18, 0.15, 0.14, 0.11, 0.15
224, 8.73, 0.22, 0.21, 0.16, 0.14, 0.13, 0.10, 0.15
232, 8.50, 0.22, 0.22, 0.17, 0.14, 0.13, 0.10, 0.15
240, 8.95, 0.21, 0.21, 0.16, 0.14, 0.13, 0.10, 0.14
248, 8.94, 0.22, 0.22, 0.17, 0.14, 0.13, 0.11, 0.15
256, 9.73, 0.34, 0.33, 0.34, 0.38, 0.23, 0.21, 0.39
264, 14.38, 0.18, 0.18, 0.19, 0.22, 0.14, 0.12, 0.23
272, 9.72, 0.15, 0.15, 0.17, 0.19, 0.12, 0.10, 0.20
280, 8.69, 0.14, 0.15, 0.16, 0.18, 0.11, 0.10, 0.20
288, 8.47, 0.14, 0.14, 0.15, 0.17, 0.11, 0.09, 0.19
296, 8.46, 0.14, 0.14, 0.15, 0.17, 0.11, 0.09, 0.19
304, 8.45, 0.13, 0.13, 0.15, 0.17, 0.10, 0.09, 0.18
312, 8.45, 0.13, 0.13, 0.14, 0.16, 0.10, 0.09, 0.17
320, 8.44, 0.16, 0.16, 0.16, 0.18, 0.12, 0.10, 0.19
328, 8.44, 0.16, 0.16, 0.17, 0.19, 0.12, 0.10, 0.19
336, 8.74, 0.15, 0.15, 0.16, 0.17, 0.12, 0.10, 0.18
344, 8.44, 0.17, 0.17, 0.17, 0.19, 0.13, 0.10, 0.19
352, 9.68, 0.15, 0.15, 0.15, 0.16, 0.11, 0.09, 0.17
360, 8.43, 0.15, 0.15, 0.15, 0.16, 0.11, 0.09, 0.17
368, 8.65, 0.14, 0.14, 0.14, 0.16, 0.10, 0.09, 0.16
376, 8.42, 0.14, 0.14, 0.14, 0.16, 0.11, 0.09, 0.17
384, 8.63, 0.15, 0.15, 0.15, 0.12, 0.10, 0.10, 0.13
392, 8.20, 0.14, 0.14, 0.15, 0.11, 0.10, 0.09, 0.12
400, 8.41, 0.14, 0.14, 0.15, 0.11, 0.10, 0.09, 0.12
408, 8.40, 0.14, 0.14, 0.15, 0.11, 0.10, 0.09, 0.12
416, 8.40, 0.13, 0.13, 0.14, 0.11, 0.09, 0.09, 0.12
424, 8.40, 0.13, 0.13, 0.14, 0.10, 0.09, 0.08, 0.11
432, 8.39, 0.13, 0.13, 0.14, 0.10, 0.09, 0.08, 0.11
440, 8.39, 0.13, 0.13, 0.13, 0.10, 0.09, 0.08, 0.11
448, 8.39, 0.15, 0.15, 0.15, 0.14, 0.10, 0.09, 0.15
456, 8.50, 0.15, 0.15, 0.15, 0.14, 0.10, 0.09, 0.15
464, 8.40, 0.15, 0.15, 0.14, 0.14, 0.10, 0.09, 0.15
472, 8.39, 0.14, 0.14, 0.14, 0.13, 0.10, 0.09, 0.14
480, 8.17, 0.14, 0.14, 0.14, 0.13, 0.10, 0.09, 0.14
488, 8.17, 0.14, 0.14, 0.14, 0.13, 0.09, 0.08, 0.14
496, 8.17, 0.14, 0.14, 0.13, 0.13, 0.09, 0.08, 0.14
504, 8.17, 0.14, 0.14, 0.13, 0.12, 0.09, 0.08, 0.13
512, 8.37, 0.10, 0.10, 0.14, 0.14, 0.08, 0.09, 0.15
